alpha,xi,sigma,lambda_tilde,lambda_phys,delta,status
0.1,0.0,0,0.998574,3.137114,0.004479,PASS
0.5,0.0,1,0.998577,3.137124,0.004469,PASS
1.0,0.001,2,0.99858,3.137138,0.004455,PASS
